ID,Region,Year,Gini Index
419,Macaúbas - BA,1991,0.5907
420,Macururé - BA,1991,0.3418
421,Madre de Deus - BA,1991,0.5334
422,Maetinga - BA,1991,0.4028
423,Maiquinique - BA,1991,0.5121
424,Mairi - BA,1991,0.5519
425,Malhada - BA,1991,0.3527
426,Malhada de Pedras - BA,1991,0.5516
427,Manoel Vitorino - BA,1991,0.4054
428,Mansidão - BA,1991,0.3937
429,Maracás - BA,1991,0.4607
430,Maragogipe - BA,1991,0.4875
431,Maraú - BA,1991,0.4597
432,Marcionílio Souza - BA,1991,0.514
433,Mascote - BA,1991,0.5628
434,Mata de São João - BA,1991,0.5876
435,Matina - BA,1991,0.3211
436,Medeiros Neto - BA,1991,0.587
437,Miguel Calmon - BA,1991,0.5206
438,Milagres - BA,1991,0.5324
439,Mirangaba - BA,1991,0.4216
440,Mirante - BA,1991,0.4121
441,Monte Santo - BA,1991,0.4827
442,Morpará - BA,1991,0.4119
443,Morro do Chapéu - BA,1991,0.5217
444,Mortugaba - BA,1991,0.5155
445,Mucugê - BA,1991,0.5598
446,Mucuri - BA,1991,0.579
447,Mulungu do Morro - BA,1991,0.4246
448,Mundo Novo - BA,1991,0.4902
449,Muniz Ferreira - BA,1991,0.437
450,Muquém de São Francisco - BA,1991,0.3686
451,Muritiba - BA,1991,0.5758
452,Mutuípe - BA,1991,0.584
453,Nazaré - BA,1991,0.5224
454,Nilo Peçanha - BA,1991,0.4567
455,Nordestina - BA,1991,0.3787
456,Nova Canaã - BA,1991,0.491
457,Nova Fátima - BA,1991,0.5343
458,Nova Ibiá - BA,1991,0.4705
459,Nova Itarana - BA,1991,0.4264
460,Nova Redenção - BA,1991,0.5115
461,Nova Soure - BA,1991,0.5217
462,Nova Viçosa - BA,1991,0.5746
463,Novo Horizonte - BA,1991,0.4367
464,Novo Triunfo - BA,1991,0.3568
465,Olindina - BA,1991,0.5578
466,Oliveira dos Brejinhos - BA,1991,0.4557
467,Ouriçangas - BA,1991,0.442
468,Ourolândia - BA,1991,0.4742
469,Palmas de Monte Alto - BA,1991,0.4013
470,Palmeiras - BA,1991,0.6062
471,Paramirim - BA,1991,0.4996
472,Paratinga - BA,1991,0.4312
473,Paripiranga - BA,1991,0.5162
474,Pau Brasil - BA,1991,0.5708
475,Paulo Afonso - BA,1991,0.569
476,Pé de Serra - BA,1991,0.3668
477,Pedrão - BA,1991,0.4471
478,Pedro Alexandre - BA,1991,0.3529
479,Piatã - BA,1991,0.4202
480,Pilão Arcado - BA,1991,0.3702
481,Pindaí - BA,1991,0.4967
482,Pindobaçu - BA,1991,0.5338
483,Pintadas - BA,1991,0.4438
484,Piraí do Norte - BA,1991,0.4673
485,Piripá - BA,1991,0.3905
486,Piritiba - BA,1991,0.4964
487,Planaltino - BA,1991,0.419
